,Make,Model,Year,0
742,Audi,Q73.0T,2014,45885
743,Audi,Q73.0T,2014,42444
744,Audi,Q73.0T,2014,41888
745,Audi,Q73.0T,2015,51495
746,Audi,Q73.0T,2015,49991
747,Audi,Q73.0T,2015,49500
748,Audi,Q73.0T,2017,77877
749,Audi,Q73.0T,2017,72997
750,Audi,Q73.0T,2017,67997
751,Audi,Q73.0TDI,2013,33889
752,Audi,Q73.0TDI,2014,41624
753,Audi,Q73.0TDI,2014,30587
754,Audi,Q73.0TDI,2015,52995
755,Audi,Q73.0TDI,2015,44995
756,Audi,Q7quattro,2007,18995
757,Audi,Q7quattro,2007,12995
